file,class,totalMetods,loc,varaiblesQty
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\com\github\mauricioaniche\ck\metric\CBO.java,com.github.mauricioaniche.ck.metric.CBO,26,187,30
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\com\github\mauricioaniche\ck\metric\ClassLevelMetric.java,com.github.mauricioaniche.ck.metric.ClassLevelMetric,1,4,0
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\com\github\mauricioaniche\ck\metric\ClassLevelWordCounter.java,com.github.mauricioaniche.ck.metric.ClassLevelWordCounter,2,15,3
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\com\github\mauricioaniche\ck\metric\DIT.java,com.github.mauricioaniche.ck.metric.DIT,3,21,4
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\com\github\mauricioaniche\ck\metric\LCOM.java,com.github.mauricioaniche.ck.metric.LCOM,6,41,8
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\com\github\mauricioaniche\ck\metric\MethodLevelFieldUsageCount.java,com.github.mauricioaniche.ck.metric.MethodLevelFieldUsageCount,10,56,10
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\com\github\mauricioaniche\ck\metric\MethodLevelMetric.java,com.github.mauricioaniche.ck.metric.MethodLevelMetric,1,4,0
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\com\github\mauricioaniche\ck\metric\MethodLevelWordCounter.java,com.github.mauricioaniche.ck.metric.MethodLevelWordCounter,2,12,2
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\com\github\mauricioaniche\ck\metric\NOSI.java,com.github.mauricioaniche.ck.metric.NOSI,2,12,2
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\com\github\mauricioaniche\ck\metric\NumberOfAssignments.java,com.github.mauricioaniche.ck.metric.NumberOfAssignments,4,18,1
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\com\github\mauricioaniche\ck\metric\NumberOfComparisons.java,com.github.mauricioaniche.ck.metric.NumberOfComparisons,3,15,1
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\com\github\mauricioaniche\ck\metric\NumberOfFields.java,com.github.mauricioaniche.ck.metric.NumberOfFields,2,38,14
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\com\github\mauricioaniche\ck\metric\NumberOfLoops.java,com.github.mauricioaniche.ck.metric.NumberOfLoops,6,26,1
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\com\github\mauricioaniche\ck\metric\NumberOfMathOperators.java,com.github.mauricioaniche.ck.metric.NumberOfMathOperators,3,15,2
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\com\github\mauricioaniche\ck\metric\NumberOfMaxNestedBlock.java,com.github.mauricioaniche.ck.metric.NumberOfMaxNestedBlock,4,19,2
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\com\github\mauricioaniche\ck\metric\NumberOfMethods.java,com.github.mauricioaniche.ck.metric.NumberOfMethods,2,42,16
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\com\github\mauricioaniche\ck\metric\NumberOfNumbers.java,com.github.mauricioaniche.ck.metric.NumberOfNumbers,3,14,1
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\com\github\mauricioaniche\ck\metric\NumberOfParameters.java,com.github.mauricioaniche.ck.metric.NumberOfParameters,2,11,1
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\com\github\mauricioaniche\ck\metric\NumberOfParenthesis.java,com.github.mauricioaniche.ck.metric.NumberOfParenthesis,3,14,1
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\com\github\mauricioaniche\ck\metric\NumberOfReturns.java,com.github.mauricioaniche.ck.metric.NumberOfReturns,3,14,1
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\com\github\mauricioaniche\ck\metric\NumberOfStringLiterals.java,com.github.mauricioaniche.ck.metric.NumberOfStringLiterals,3,14,1
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\com\github\mauricioaniche\ck\metric\NumberOfSubClassesLambdasAndAnonymousClasses.java,com.github.mauricioaniche.ck.metric.NumberOfSubClassesLambdasAndAnonymousClasses,5,28,3
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\com\github\mauricioaniche\ck\metric\NumberOfTryCatches.java,com.github.mauricioaniche.ck.metric.NumberOfTryCatches,3,14,1
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\com\github\mauricioaniche\ck\metric\NumberOfVariables.java,com.github.mauricioaniche.ck.metric.NumberOfVariables,3,14,1
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\com\github\mauricioaniche\ck\metric\RFC.java,com.github.mauricioaniche.ck.metric.RFC,7,42,7
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\com\github\mauricioaniche\ck\metric\VariableOrParameterUsageCount.java,com.github.mauricioaniche.ck.metric.VariableOrParameterUsageCount,5,28,3
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\com\github\mauricioaniche\ck\metric\WMC.java,com.github.mauricioaniche.ck.metric.WMC,14,60,4
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\dependency\ast\DCLDeepDependencyVisitor.java,dependency.ast.DCLDeepDependencyVisitor,22,321,30
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\dependency\core\Architecture.java,dependency.core.Architecture,9,88,15
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\dependency\dependencies\AccessDependency.java,dependency.dependencies.AccessDependency,3,12,0
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\dependency\dependencies\AnnotateDependency.java,dependency.dependencies.AnnotateDependency,3,12,0
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\dependency\dependencies\CreateDependency.java,dependency.dependencies.CreateDependency,3,12,0
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\dependency\dependencies\DeclareDependency.java,dependency.dependencies.DeclareDependency,3,12,0
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\dependency\dependencies\Dependency.java,dependency.dependencies.Dependency,9,36,5
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\dependency\dependencies\DeriveDependency.java,dependency.dependencies.DeriveDependency,2,9,0
